K,Jaccard,Overlap
5,0.031068121693121693,0.052083333333333336
10,0.03702142997324886,0.064375
20,0.04686825324432857,0.08208333333333333
50,0.07121995058022577,0.12016666666666667
100,0.08780830842610397,0.14714583333333334
